Simple Test
n,simple_total,simple
64,64,74,299,45923,1.0308
64,64,75,323,53886,1.03621
64,64,76,349,63167,1.0402
64,64,77,377,73976,1.04374
64,64,78,407,86412,1.04588
64,64,79,439,100802,1.04848
64,64,80,475,118358,1.05137
64,64,81,512,137498,1.05108
64,64,82,553,161008,1.0549
64,64,83,598,188520,1.05612
64,64,84,646,220260,1.05724
64,64,85,697,256696,1.0583
64,64,86,753,299886,1.05919
64,64,87,813,349803,1.05976
64,64,88,878,408179,1.0602
64,64,89,949,477163,1.06077
64,64,90,1024,555258,1.06011
64,64,91,1106,648544,1.06133
64,64,92,1195,757403,1.06166
64,64,93,1291,884225,1.06188
64,64,94,1394,1031152,1.06203
64,64,95,1506,1203744,1.06219
64,64,96,1626,1403480,1.06234
64,64,97,1756,1636965,1.06235
64,64,98,1897,1910896,1.06258
64,64,99,2048,2226362,1.06213
64,64,100,2212,2598375,1.06257
64,64,101,2390,3033768,1.06267
64,64,102,2581,3538387,1.06274
64,64,103,2787,4125800,1.06272
64,64,104,3011,4815846,1.06274
64,64,105,3251,5614341,1.06274
64,64,106,3512,6551482,1.06264
64,64,107,3793,7643006,1.06278
64,64,108,4096,8910906,1.06252
64,64,109,4424,10396645,1.06265
64,64,110,4779,12133243,1.06273
64,64,111,5161,14150896,1.06275
64,64,112,5574,16506068,1.06272
64,64,113,6021,19260047,1.06273
64,64,114,6502,22459884,1.0627
64,64,115,7023,26200900,1.06258
64,64,116,7585,30565646,1.0627
64,64,117,8192,35649338,1.06256
64,64,118,8848,41587737,1.06256
64,64,119,9557,48524867,1.06267
64,64,120,10322,56603488,1.06264
64,64,121,11148,66024408,1.06262
64,64,122,12041,77027216,1.06264
64,64,123,13004,89838860,1.06261
64,64,124,14046,104813959,1.06261
64,64,125,15170,122259952,1.0626
64,64,126,16384,142603578,1.06254
64,1024,54,64,256,0.126984
64,1024,55,70,307,0.127122
64,1024,56,75,352,0.126847
64,1024,57,81,410,0.126543
64,1024,58,88,484,0.126437
64,1024,59,95,564,0.126316
64,1024,60,102,651,0.126383
64,1024,61,110,757,0.126272
64,1024,62,119,885,0.12605
64,1024,63,128,1024,0.125984
64,1024,64,139,1252,0.130539
64,1024,65,150,1472,0.131723
64,1024,66,162,1725,0.132275
64,1024,67,175,2021,0.132742
64,1024,68,189,2362,0.132951
64,1024,69,204,2721,0.131411
64,1024,70,220,3160,0.131175
64,1024,71,238,3717,0.131794
64,1024,72,256,4096,0.12549
64,1024,73,277,5026,0.131481
64,1024,74,299,5840,0.131086
64,1024,75,323,6799,0.130742
64,1024,76,349,7917,0.130372
64,1024,77,377,9214,0.130002
64,1024,78,407,10715,0.129689
64,1024,79,439,12437,0.129362
64,1024,80,475,14530,0.12907
64,1024,81,512,16384,0.125245
64,1024,82,553,19617,0.128528
64,1024,83,598,22862,0.128076
64,1024,84,646,26637,0.127857
64,1024,85,697,31006,0.12783
64,1024,86,753,36133,0.127621
64,1024,87,813,42065,0.12744
64,1024,88,878,48942,0.127121
64,1024,89,949,57169,0.127091
64,1024,90,1024,122106,0.233126
64,1024,91,1106,215188,0.352152
64,1024,92,1195,323655,0.45367
64,1024,93,1291,450477,0.540987
64,1024,94,1394,597796,0.6157
64,1024,95,1506,770388,0.679795
64,1024,96,1626,970217,0.734387
64,1024,97,1756,1203246,0.780877
64,1024,98,1897,1477397,0.821526
64,1024,99,2048,1793210,0.855487
64,1024,100,2212,2164456,0.885126
64,1024,101,2390,2600618,0.910946
64,1024,102,2581,3105129,0.932614
64,1024,103,2787,3692388,0.951085
64,1024,104,3011,4382434,0.967093
64,1024,105,3251,5180929,0.980703
64,1024,106,3512,6117983,0.992323
64,1024,107,3793,7209539,1.0025
64,1024,108,4096,8477754,1.01087
64,1024,109,4424,9963146,1.01834
64,1024,110,4779,11699495,1.02474
64,1024,111,5161,13717397,1.03019
64,1024,112,5574,16072918,1.03483
64,1024,113,6021,18826789,1.03882
64,1024,114,6502,22026734,1.0422
64,1024,115,7023,25767769,1.04502
64,1024,116,7585,30132179,1.04763
64,1024,117,8192,35216186,1.04965
64,1024,118,8848,41154585,1.05149
64,1024,119,9557,48091609,1.05318
64,1024,120,10322,56170132,1.05451
64,1024,121,11148,65590689,1.05564
64,1024,122,12041,76593717,1.05666
64,1024,123,13004,89405141,1.05748
64,1024,124,14046,104380330,1.05822
64,1024,125,15170,121826596,1.05884
64,1024,126,16384,142170426,1.05932
64,4096,54,64,256,0.126984
64,4096,55,70,307,0.127122
64,4096,56,75,352,0.126847
64,4096,57,81,410,0.126543
64,4096,58,88,484,0.126437
64,4096,59,95,564,0.126316
64,4096,60,102,651,0.126383
64,4096,61,110,757,0.126272
64,4096,62,119,885,0.12605
64,4096,63,128,1024,0.125984
64,4096,64,139,1208,0.125951
64,4096,65,150,1407,0.125906
64,4096,66,162,1641,0.125834
64,4096,67,175,1914,0.125714
64,4096,68,189,2233,0.12569
64,4096,69,204,2601,0.125616
64,4096,70,220,3025,0.125571
64,4096,71,238,3541,0.125554
64,4096,72,256,4096,0.12549
64,4096,73,277,4888,0.127871
64,4096,74,299,5729,0.128594
64,4096,75,323,6703,0.128896
64,4096,76,349,7834,0.129006
64,4096,77,377,9140,0.128958
64,4096,78,407,10648,0.128878
64,4096,79,439,12377,0.128738
64,4096,80,475,14478,0.128608
64,4096,81,512,16384,0.125245
64,4096,82,553,19572,0.128233
64,4096,83,598,22825,0.127869
64,4096,84,646,26602,0.127689
64,4096,85,697,30970,0.127682
64,4096,86,753,36101,0.127508
64,4096,87,813,42035,0.127349
64,4096,88,878,48916,0.127054
64,4096,89,949,57144,0.127036
64,4096,90,1024,65536,0.125122
64,4096,91,1106,77394,0.126654
64,4096,92,1195,90348,0.126642
64,4096,93,1291,105354,0.126522
64,4096,94,1394,122652,0.126325
64,4096,95,1506,143052,0.12623
64,4096,96,1626,166648,0.126141
64,4096,97,1756,194026,0.125918
64,4096,98,1897,226675,0.126046
64,4096,99,2048,262144,0.125061
64,4096,100,2212,307459,0.125731
64,4096,101,2390,359087,0.125781
64,4096,102,2581,418755,0.125772
64,4096,103,2787,488064,0.125715
64,4096,104,3011,569446,0.125662
64,4096,105,3251,663601,0.125614
64,4096,106,3512,772636,0.12532
64,4096,107,3793,902725,0.125526
64,4096,108,4096,1943161,0.231699
64,4096,109,4424,3431503,0.350738
64,4096,110,4779,5169539,0.452792
64,4096,111,5161,7188163,0.539839
64,4096,112,5574,9541156,0.614292
64,4096,113,6021,12295629,0.678447
64,4096,114,6502,15494972,0.733151
64,4096,115,7023,19236487,0.780139
64,4096,116,7585,23603126,0.820627
64,4096,117,8192,28681593,0.854882
64,4096,118,8848,34619992,0.884537
64,4096,119,9557,41560449,0.910149
64,4096,120,10322,49641500,0.931943
64,4096,121,11148,59060731,0.950548
64,4096,122,12041,70064483,0.966582
64,4096,123,13004,82875183,0.980244
64,4096,124,14046,97850976,0.992021
64,4096,125,15170,115297964,1.0021
64,4096,126,16384,135635833,1.01063
512,512,54,64,32,0.015873
512,512,55,70,39,0.0161491
512,512,56,75,44,0.0158559
512,512,57,81,52,0.0160494
512,512,58,88,61,0.0159352
512,512,59,95,71,0.0159015
512,512,60,102,82,0.0159192
512,512,61,110,95,0.0158465
512,512,62,119,111,0.0158097
512,512,63,128,128,0.015748
512,512,64,139,151,0.0157439
512,512,65,150,176,0.0157494
512,512,66,162,206,0.0157963
512,512,67,175,240,0.0157635
512,512,68,189,280,0.0157604
512,512,69,204,326,0.0157442
512,512,70,220,379,0.0157327
512,512,71,238,443,0.0157075
512,512,72,256,512,0.0156863
512,512,73,277,637,0.0166641
512,512,74,299,795,0.0178447
512,512,75,323,974,0.0187297
512,512,76,349,1165,0.0191845
512,512,77,377,1372,0.0193578
512,512,78,407,1598,0.0193413
512,512,79,439,1850,0.0192426
512,512,80,475,2153,0.019125
512,512,81,512,3574,0.0273208
512,512,82,553,26148,0.171318
512,512,83,598,52444,0.293799
512,512,84,646,82788,0.397379
512,512,85,697,117313,0.483653
512,512,86,753,158192,0.55873
512,512,87,813,205805,0.623504
512,512,88,878,260974,0.677849
512,512,89,949,326360,0.725525
512,512,90,1024,399858,0.763414
512,512,91,1106,489099,0.800404
512,512,92,1195,592168,0.830047
512,512,93,1291,712683,0.855875
512,512,94,1394,851999,0.877516
512,512,95,1506,1015774,0.896325
512,512,96,1626,1205221,0.912269
512,512,97,1756,1426675,0.925877
512,512,98,1897,1686366,0.937726
512,512,99,2048,1985002,0.946985
512,512,100,2212,2338944,0.95648
512,512,101,2390,2751861,0.963923
512,512,102,2581,3230317,0.970214
512,512,103,2787,3787427,0.975565
